software,software_description,software_versions,resource
Score-P,"The Score-P measurement infrastructure is a highly scalable and easy-to-use tool suite for profiling, event tracing, and online analysis of HPC applications.",8.3,aces
SentencePiece,Unsupervised text tokenizer for Neural Network-based text generation.,0.1.97,aces
Serf,The serf library is a high performance C-based HTTP client library built upon the Apache Portable Runtime (APR) library,1.3.9,aces
Shapely,Shapely is a BSD-licensed Python package for manipulation and analysis of planar geometric objects. It is based on the widely deployed GEOS (the engine of PostGIS) and JTS (from which GEOS is ported) libraries.,"1.8.2, 2.0.1",aces
StarPU,PM2 is an umbrella software suite for high-performance runtime systems. Modules may be installed and used together or separately.,1.3.11,aces
Subversion,Subversion is an open source version control system.,1.14.2,aces
SuiteSparse,SuiteSparse is a collection of libraries manipulate sparse matrices.,5.13.0-METIS-5.1.0,aces
SuperLU_DIST,"SuperLU is a general purpose library for the direct solution of large, sparse, nonsymmetric systems of linear equations on high performance machines.","8.1.0, 8.1.2",aces
Szip,"Szip compression software, providing lossless compression of scientific data",2.1.1,aces
Tcl,"Tcl (Tool Command Language) is a very powerful but easy to learn dynamic programming language, suitable for a very wide range of uses, including web and desktop applications, networking, administration, testing and many more.","8.6.10, 8.6.11, 8.6.12, 8.6.13",aces
TensorFlow,An open-source software library for Machine Intelligence,"2.5.0, 2.5.3-CUDA-11.3.1, 2.6.0-CUDA-11.3.1, 2.7.1-CUDA-11.4.1, 2.8.4, ...",aces
TensorRT,"An SDK for high-performance deep learning inference, includes a deep learning inference optimizer and runtime that delivers low latency and high throughput for inference applications.","8.6.0.12-CUDA-11, 8.6.0.12-CUDA-12, 8.6.1.6-CUDA-11, 8.6.1.6-CUDA-12",aces
Theano,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently.",1.1.2-PyMC,aces
Tk,"Tk is an open source, cross-platform widget toolchain that provides a library of basic elements for building a graphical user interface (GUI) in many different programming languages.","8.6.10, 8.6.11, 8.6.12, 8.6.13",aces
Tkinter,"Tkinter module, built with the Python buildsystem","3.8.6, 3.9.6, 3.10.4, 3.10.8, 3.11.3",aces
Trilinos,"The Trilinos Project is an effort to develop algorithms and enabling technologies within an object-oriented software framework for the solution of large-scale, complex multi-physics engineering and scientific problems. A unique design feature of Trilinos is its focus on packages.",13.4.1,aces
Trim_Galore,"Trim Galore! is a wrapper script to automate quality and adapter trimming as well as quality control, with some added functionality to remove biased methylation positions for RRBS sequence files (for directional, non-directional (or paired-end) sequencing).",0.6.10,aces
Twisted,"Twisted is an event-based framework for internet applications, supporting Python 3.6+.",22.4.0,aces
UCC,"UCC (Unified Collective Communication) is a collective communication operations API and library that is flexible, complete, and feature-rich for current and emerging programming models and runtimes.","1.0.0, 1.1.0, 1.2.0",aces
UCC-CUDA,"UCC (Unified Collective Communication) is a collective communication operations API and library that is flexible, complete, and feature-rich for current and emerging programming models and runtimes. This module adds the UCC CUDA support.","1.0.0-CUDA-11.7.0, 1.1.0-CUDA-12.0.0",aces
UCX,Unified Communication X An open-source production grade communication framework for data centric and high-performance applications,"1.9.0-CUDA-11.1.1, 1.9.0, 1.10.0, 1.11.2, 1.12.1, 1.13.1, 1.14.0, 1.14.1, 1.15.0-rc4, 1.15.0",aces
UCX-CUDA,Unified Communication X An open-source production grade communication framework for data centric and high-performance applications This module adds the UCX CUDA support.,"1.10.0-CUDA-11.3.1, 1.11.2-CUDA-11.4.1, 1.12.1-CUDA-11.7.0, 1.12.1-CUDA-11.8.0, 1.12.1-CUDA-12.2.0, ...",aces
UDUNITS,"UDUNITS supports conversion of unit specifications between formatted and binary forms, arithmetic manipulation of units, and conversion of values between compatible scales of measurement.","2.2.26, 2.2.28",aces
UnZip,"UnZip is an extraction utility for archives compressed in .zip format (also called ""zipfiles""). Although highly compatible both with PKWARE's PKZIP and PKUNZIP utilities for MS-DOS and with Info-ZIP's own Zip program, our primary objectives have been portability and non-MSDOS functionality.",6.0,aces
VESTA,"VESTA is a 3D visualization program for structured models, volumetric data such as electron/nuclear densities, and crystal morphologies.",3.5.8-gtk3,aces
VMD,"VMD is a molecular visualization program for displaying, animating, and analyzing large biomolecular systems using 3-D graphics and built-in scripting.",1.9.4a57,aces
VSCode,"Visual Studio Code is a lightweight but powerful source code editor which runs on your desktop and is available for Windows, macOS and Linux. It comes with built-in support for JavaScript, TypeScript and Node.js and has a rich ecosystem of extensions for other languages and runtimes (such as C++, C#, Java, Python, PHP, Go, .NET). Begin your journey with VS Code with these introductory videos.",1.85.0,aces
VTK,"The Visualization Toolkit (VTK) is an open-source, freely available software system for 3D computer graphics, image processing and visualization. VTK consists of a C++ class library and several interpreted interface layers including Tcl/Tk, Java, and Python. VTK supports a wide variety of visualization algorithms including: scalar, vector, tensor, texture, and volumetric methods; and advanced modeling techniques such as: implicit modeling, polygon reduction, mesh smoothing, cutting, contouring, and Delaunay triangulation.","9.0.1, 9.1.0, 9.2.2, 9.2.6, 9.3.0",aces
VTune,"Intel VTune Amplifier XE is the premier performance profiler for C, C++, C#, Fortran, Assembly and Java.",2022.3.0,aces
Valgrind,"Valgrind: Debugging and profiling tools  Voro++: Voro++/0.4.6 Voro++ is a software library for carrying out three-dimensional computations of the Voronoi tessellation. A distinguishing feature of the Voro++ library is that it carries out cell-based calculations, computing the Voronoi cell for each particle individually. It is particularly well-suited for applications that rely on cell-based statistics, where features of Voronoi cells (eg. volume, centroid, number of faces) can be used to analyze a system of particles.",3.21.0,aces
VulkanSDK,"The Khronos Vulkan API is an explicit, low-overhead, cross-platform graphics and compute API.",1.3.239.0,aces
WRF,The Weather Research and Forecasting (WRF) Model is a next-generation mesoscale numerical weather prediction system designed to serve both operational forecasting and atmospheric research needs.,"4.4-dmpar, 4.4.1-dmpar",aces
Wayland,"Wayland is a project to define a protocol for a compositor to talk to its clients as well as a library implementation of the protocol. The compositor can be a standalone display server running on Linux kernel modesetting and evdev input devices, an X application, or a wayland client itself. The clients can be traditional applications, X servers (rootless or fullscreen) or other display servers.","1.20.0, 1.21.0, 1.22.0",aces
Waylandpp,"Wayland is an object oriented display protocol, which features request and events. Requests can be seen as method calls on certain objects, whereas events can be seen as signals of an object. This makes the Wayland protocol a perfect candidate for a C++ binding. The goal of this library is to create such a C++ binding for Wayland using the most modern C++ technology currently available, providing an easy to use C++ API to Wayland.  WebKitGTK+: WebKitGTK+/2.37.1 WebKitGTK+ is a full-featured port of the WebKit rendering engine, suitable for projects requiring any kind of web integration, from hybrid HTML/CSS applications to full-fledged web browsers. It offers WebKit's full functionality and is useful in a wide range of systems from desktop computers to embedded systems like phones, tablets, and televisions.",1.0.0,aces
WebProxy,"WebProxy module sets up web proxy environment variables, http_proxy and https_proxy, for internet acceess from the compute nodes. Wiki page: https://hprc.tamu.edu/wiki/SW:WebProxy",0000,aces
X11,The X Window System (X11) is a windowing system for bitmap displays,"20201008, 20210518, 20210802, 20220504, 20221110, 20230603",aces
XGBoost,"XGBoost is an optimized distributed gradient boosting library designed to be highly efficient, flexible and portable.",1.7.2,aces
XML-LibXML,Perl binding for libxml2,"2.0207, 2.0208",aces
XZ,"xz: XZ utilities  Xerces-C++: Xerces-C++/3.2.4 Xerces-C++ is a validating XML parser written in a portable subset of C++. Xerces-C++ makes it easy to give your application the ability to read and write XML data. A shared library is provided for parsing, generating, manipulating, and validating XML documents using the DOM, SAX, and SAX2 APIs.","5.2.5, 5.2.7, 5.4.2, 5.4.4",aces
Xvfb,Xvfb is an X server that can run on machines with no display hardware and no physical input devices. It emulates a dumb framebuffer using virtual memory.,"1.20.11, 1.20.13, 21.1.3, 21.1.6",aces
YACS,"YACS was created as a lightweight library to define and manage system configurations, such as those commonly found in software designed for scientific experimentation. These ""configurations"" typically cover concepts like hyperparameters used in training a machine learning model or configurable model hyperparameters, such as the depth of a convolutional neural network.",0.1.8,aces
Yasm,Yasm: Complete rewrite of the NASM assembler with BSD license,1.3.0,aces
Z3,"Z3 is a theorem prover from Microsoft Research with support for bitvectors, booleans, arrays, floating point numbers, strings, and other data types. This module includes z3_solver, the Python interface of Z3.","4.10.2-Python-3.10.4, 4.10.2, 4.12.2-Python-3.11.3, 4.12.2",aces
ZeroMQ,"ZeroMQ looks like an embeddable networking library but acts like a concurrency framework. It gives you sockets that carry atomic messages across various transports like in-process, inter-process, TCP, and multicast. You can connect sockets N-to-N with patterns like fanout, pub-sub, task distribution, and request-reply. It's fast enough to be the fabric for clustered products. Its asynchronous I/O model gives you scalable multicore applications, built as asynchronous message-processing tasks. It has a score of language APIs and runs on most operating systems.",4.3.4,aces
Zip,"Zip is a compression and file packaging/archive utility. Although highly compatible both with PKWARE's PKZIP and PKUNZIP utilities for MS-DOS and with Info-ZIP's own UnZip, our primary objectives have been portability and other-than-MSDOS functionality",3.0,aces
aiohttp,Asynchronous HTTP client/server framework for asyncio and Python.,"3.8.3, 3.8.5",aces
ant,Apache Ant is a Java library and command-line tool whose mission is to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications.,"1.10.11-Java-11, 1.10.12-Java-11",aces
archspec,"A library for detecting, labeling, and reasoning about microarchitectures","0.1.2, 0.1.3, 0.1.4, 0.2.0",aces
arpack-ng,ARPACK is a collection of Fortran77 subroutines designed to solve large scale eigenvalue problems.,"3.8.0, 3.9.0",aces
assimp,Open Asset Import Library (assimp) is a library to import and export various 3d-model-formats including scene-post-processing to generate missing render data.,5.2.5,aces
attrdict3,AttrDict is a Python library that provides mapping objects that allow their elements to be accessed both as keys and as attributes.,2.0.2,aces
binutils,binutils: GNU binary utilities,"2.32, 2.35, 2.36.1, 2.37, 2.38, 2.39, 2.40",aces
bokeh,Statistical and novel interactive HTML plots for Python,"2.4.1, 2.4.2, 2.4.3",aces
bzip2,"bzip2 is a freely available, patent free, high-quality data compressor. It typically compresses files to within 10% to 15% of the best available techniques (the PPM family of statistical compressors), whilst being around twice as fast at compression and six times faster at decompression.",1.0.8,aces
c-ares,c-ares is a C library for asynchronous DNS requests (including name resolves),1.18.1,aces
cURL,"libcurl is a free and easy-to-use client-side URL transfer library, supporting DICT, FILE, FTP, FTPS, Gopher, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, POP3, POP3S, RTMP, RTSP, SCP, SFTP, SMTP, SMTPS, Telnet and TFTP. libcurl supports SSL certificates, HTTP POST, HTTP PUT, FTP uploading, HTTP form based upload, proxies, cookies, user+password authentication (Basic, Digest, NTLM, Negotiate, Kerberos), file transfer resume, http proxy tunneling and more.","7.72.0, 7.76.0, 7.78.0, 7.83.0, 7.86.0, 8.0.1, 8.3.0",aces
cairo,"Cairo is a 2D graphics library with support for multiple output devices. Currently supported output targets include the X Window System (via both Xlib and XCB), Quartz, Win32, image buffers, PostScript, PDF, and SVG file output. Experimental backends include OpenGL, BeOS, OS/2, and DirectFB","1.16.0, 1.17.4, 1.17.8",aces
capstone,Capstone is a disassembly framework with the target of becoming the ultimate disasm engine for binary analysis and reversing in the security community.,5.0.1,aces
captum,"Captum is a model interpretability and understanding library for PyTorch. Captum means comprehension in Latin and contains general purpose implementations of integrated gradients, saliency maps, smoothgrad, vargrad and others for PyTorch models. It has quick integration for models built with domain-specific libraries such as torchvision, torchtext, and others.",0.5.0,aces
ccache,Ccache (or “ccache”) is a compiler cache. It speeds up recompilation by caching previous compilations and detecting when the same compilation is being done again,"4.6.1, 4.6.3",aces
cdsapi,Climate Data Store API,0.5.1,aces
cffi,"C Foreign Function Interface for Python. Interact with almost any C code from Python, based on C-like declarations that you can often copy-paste from header files or documentation.",1.15.1,aces
charliecloud,Charliecloud provides user-defined software stacks (UDSS) for high-performance computing (HPC) centers.,0.33,aces
chemprop,Message Passing Neural Networks for Molecule Property Prediction,1.5.2-CUDA-11.7.0,aces
cimfomfa,"This library supports both MCL, a cluster algorithm for graphs, and zoem, a macro/DSL language. It supplies abstractions for memory management, I/O, associative arrays, strings, heaps, and a few other things. The string library has had heavy testing as part of zoem. Both understandably and regrettably I chose long ago to make it C-string-compatible, hence nul bytes may not be part of a string. At some point I hope to rectify this, perhaps unrealistically.",22.273,aces
cisTEM,cisTEM is user-friendly software to process cryo-EM images of macromolecular complexes and obtain high-resolution 3D reconstructions from them.,1.0.0-beta-Linux64,aces
ckdmip,Software for the Correlated K-Distribution Model Intercomparison Project (CKDMIP).,1.0,aces
cppy,A small C++ header library which makes it easier to write Python extension modules. The primary feature is a PyObject smart pointer which automatically handles reference counting and provides convenience methods for performing common object operations.,"1.1.0, 1.2.1",aces
cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,"41.0.1, 41.0.4, 41.0.5",aces
cuDF,"Built based on the Apache Arrow columnar memory format, cuDF is a GPU DataFrame library for loading, joining, aggregating, filtering, and otherwise manipulating data.","23.04.0, 23.08.00",aces
cuDNN,The NVIDIA CUDA Deep Neural Network library (cuDNN) is a GPU-accelerated library of primitives for deep neural networks.,"8.0.4.30-CUDA-11.1.1, 8.2.1.32-CUDA-11.3.1, 8.2.2.26-CUDA-11.4.1, 8.4.1.50-CUDA-11.7.0, 8.6.0.163-CUDA-11.8.0, ...",aces
cuSPARSELt,NVIDIA cuSPARSELt is a high-performance CUDA library dedicated to general matrix-matrix operations in which at least one operand is a sparse matrix,0.5.0.1-CUDA-12.2.2,aces
cuTENSOR,"The cuTENSOR Library is a GPU-accelerated tensor linear algebra library providing tensor contraction, reduction and elementwise operations.","1.6.1.5-CUDA-11.4.1, 1.6.1.5-CUDA-11.7.0, 1.7.0.1-CUDA-12.0.0",aces
cutadapt,"Cutadapt finds and removes adapter sequences, primers, poly-A tails and other types of unwanted sequence from your high-throughput sequencing reads.",3.5,aces
cython-blis,"Fast BLAS-like operations from Python and Cython, without the tears. Provides the Blis linear algebra routines as a self-contained Python C-extension.",0.9.1,aces
dask,"Dask natively scales Python. Dask provides advanced parallelism for analytics, enabling performance at scale for the tools you love.","2021.9.1, 2022.1.0, 2022.10.0",aces
dbus-glib,"D-Bus is a message bus system, a simple way for applications to talk to one another.",0.112,aces
deepdiff,"DeepDiff: Deep Difference of dictionaries, iterables and almost any other object recursively.","5.8.1, 6.7.1",aces
dill,"dill extends python's pickle module for serializing and de-serializing python objects to the majority of the built-in python types. Serialization is the process of converting an object to a byte stream, and the inverse of which is converting a byte stream back to on python object hierarchy.","0.3.4, 0.3.6, 0.3.7",aces
dm-tree,"dm-tree provides tree, a library for working with nested data structures. In a way, tree generalizes the builtin map function which only supports flat sequences, and allows to apply a function to each ""leaf"" preserving the overall structure.","0.1.6, 0.1.8",aces
docker-user,Rootless mode allows running the Docker daemon and containers as a non-root user to mitigate potential vulnerabilities in the daemon and the container runtime. Rootless mode executes the Docker daemon and containers inside a user namespace.,202311,aces
double-conversion,Efficient binary-decimal and decimal-binary conversion routines for IEEE doubles.,"3.1.5, 3.2.0, 3.2.1, 3.3.0",aces
ecBuild,"A CMake-based build system, consisting of a collection of CMake macros and functions that ease the managing of software build systems","3.7.0, 3.8.0",aces
ecCodes,"ecCodes is a package developed by ECMWF which provides an application programming interface and a set of tools for decoding and encoding messages in the following formats: WMO FM-92 GRIB edition 1 and edition 2, WMO FM-94 BUFR edition 3 and edition 4, WMO GTS abbreviated header (only decoding).","2.24.2, 2.27.0, 2.31.0",aces
einops,"Flexible and powerful tensor operations for readable and reliable code. Supports numpy, pytorch, tensorflow, jax, and others.",0.4.1,aces
elfutils,The elfutils project provides libraries and tools for ELF files and DWARF data.,"0.187, 0.189",aces
enchant-2,"Enchant aims to provide a simple but comprehensive abstraction for dealing with different spell checking libraries in a consistent way. A client, such as a text editor or word processor, need not know anything about a specific spell-checker, and since all back-ends are plugins, new spell-checkers can be added without needing any change to the program using Enchant.",2.3.3,aces
exiv2,Exiv2 is a Cross-platform C++ library and a command line utility to manage image metadata.,0.27.5,aces
expat,Expat is an XML parser library written in C. It is a stream-oriented parser in which an application registers handlers for things the parser might find in the XML document (like start tags),"2.2.9, 2.4.1, 2.4.8, 2.4.9, 2.5.0",aces
expecttest,"This library implements expect tests (also known as ""golden"" tests). Expect tests are a method of writing tests where instead of hard-coding the expected output of a test, you run the test to get the output, and the test framework automatically populates the expected output. If the output of the test changes, you can rerun the test with the environment variable EXPECTTEST_ACCEPT=1 to automatically update the expected output.","0.1.3, 0.1.5",aces
eztrace,EZTrace is a tool that aims at generating automatically execution trace from HPC programs.,2.1,aces
fastai,The fastai deep learning library.,2.7.10,aces
ffnvcodec,FFmpeg nvidia headers. Adds support for nvenc and nvdec. Requires Nvidia GPU and drivers to be present (picked up dynamically).,"11.1.5.2, 12.0.16.0",aces
file,"The file command is 'a file type guesser', that is, a command-line tool that tells you in words what kind of data a file contains.",5.43,aces
flatbuffers,FlatBuffers: Memory Efficient Serialization Library,"1.12.0, 2.0.0, 2.0.7, 23.1.4, 23.5.26",aces
flatbuffers-python,Python Flatbuffers runtime library.,"1.12, 2.0, 23.1.4, 23.5.26",aces
flex,"Flex (Fast Lexical Analyzer) is a tool for generating scanners. A scanner, sometimes called a tokenizer, is a program which recognizes lexical patterns in text.",2.6.4,aces
flit,A simple packaging tool for simple packages.,3.9.0,aces
fontconfig,"Fontconfig is a library designed to provide system-wide font configuration, customization and application access.","2.13.92, 2.13.93, 2.13.94, 2.14.0, 2.14.1, 2.14.2",aces
foss,"GNU Compiler Collection (GCC) based compiler toolchain, including OpenMPI for MPI support, OpenBLAS (BLAS and LAPACK support), FFTW and ScaLAPACK.","2020b, 2021a, 2021b, 2022a, 2022b, 2023a, 2023b, 2023.09",aces
fosscuda,"GCC based compiler toolchain __with CUDA support__, and including OpenMPI for MPI support, OpenBLAS (BLAS and LAPACK support), FFTW and ScaLAPACK.",2020b,aces
freeglut,freeglut is a completely OpenSourced alternative to the OpenGL Utility Toolkit (GLUT) library.,"3.2.1, 3.2.2, 3.4.0",aces
freetype,"FreeType 2 is a software font engine that is designed to be small, efficient, highly customizable, and portable while capable of producing high-quality output (glyph images). It can be used in graphics libraries, display servers, font conversion tools, text image generation tools, and many other products as well.","2.10.3, 2.10.4, 2.11.0, 2.12.1, 2.13.0",aces
g2clib,Library contains GRIB2 encoder/decoder ('C' version).,1.6.3,aces
g2lib,Library contains GRIB2 encoder/decoder and search/indexing routines.,3.2.0,aces
gc,The Boehm-Demers-Weiser conservative garbage collector can be used as a garbage collecting replacement for C malloc or C++ new.,"8.2.0, 8.2.4",aces
gcccuda,"GNU Compiler Collection (GCC) based compiler toolchain, along with CUDA toolkit.",2020b,aces
geopandas,GeoPandas is a project to add support for geographic data to pandas objects. It currently implements GeoSeries and GeoDataFrame types which are subclasses of pandas.Series and pandas.DataFrame respectively. GeoPandas objects can act on shapely geometry objects and perform geometric operations.,0.12.2,aces
gettext,"GNU 'gettext' is an important step for the GNU Translation Project, as it is an asset on which we may build many other steps. This package offers to programmers, translators, and even users, a well integrated set of tools and documentation","0.21, 0.21.1, 0.22",aces
gfbf,"GNU Compiler Collection (GCC) based compiler toolchain, including FlexiBLAS (BLAS and LAPACK support) and (serial) FFTW.","2022a, 2022b, 2023a, 2023b, 2023.09",aces
giflib,giflib is a library for reading and writing gif images. It is API and ABI compatible with libungif which was in wide use while the LZW compression algorithm was patented.,5.2.1,aces
git,Git is a free and open source distributed version control system designed to handle everything from small to very large projects with speed and efficiency.,"2.28.0-nodocs, 2.32.0-nodocs, 2.33.1-nodocs, 2.36.0-nodocs, 2.38.1-nodocs, 2.41.0-nodocs, 2.42.0",aces
git-lfs,"Git Large File Storage (LFS) replaces large files such as audio samples, videos, datasets, and graphics with text pointers inside Git, while storing the file contents on a remote server like GitHub.com","3.2.0, 3.3.0",aces
glew,The OpenGL Extension Wrangler Library (GLEW) is a cross-platform open-source C/C++ extension loading library. GLEW provides efficient run-time mechanisms for determining which OpenGL extensions are supported on the target platform.,2.2.0-egl,aces
glib-networking,Network extensions for GLib,2.72.1,aces
gmpy2,"GMP/MPIR, MPFR, and MPC interface to Python 2.6+ and 3.x","2.1.2, 2.1.5",aces
gnuplot,"Portable interactive, function plotting utility","5.4.4, 5.4.6, 5.4.8",aces
gompi,"GNU Compiler Collection (GCC) based compiler toolchain, including OpenMPI for MPI support.","2020b, 2021a, 2021b, 2022a, 2022b, 2023a, 2023b, 2023.05, 2023.09",aces
gompic,"GNU Compiler Collection (GCC) based compiler toolchain along with CUDA toolkit, including OpenMPI for MPI support with CUDA features enabled.",2020b,aces
googletest,Google's framework for writing C++ tests on a variety of platforms,"1.11.0, 1.12.1, 1.13.0",aces
gperf,"GNU gperf is a perfect hash function generator. For a given list of strings, it produces a hash function and hash table, in form of C or C++ code, for looking up a value depending on the input string. The hash function is perfect, which means that the hash table has no collisions, and the hash table lookup needs a single string comparison only.",3.1,aces
gperftools,"gperftools is a collection of a high-performance multi-threaded malloc() implementation, plus some pretty nifty performance analysis tools. Includes TCMalloc, heap-checker, heap-profiler and cpu-profiler.","2.10, 2.13",aces
gpflow,"GPflow is a package for building Gaussian process models in python, using TensorFlow.","2.9.0-CUDA-11.7.0-TensorFlow-2.11.0, 2.9.0-CUDA-11.7.0",aces
gpustat,A simple command-line utility for querying and monitoring GPU status,1.1,aces
graphite2,"Graphite is a ""smart font"" system developed specifically to handle the complexities of lesser-known languages of the world.",1.3.14,aces
graphviz-python,Simple Python interface for Graphviz,0.20.1,aces
groff,Groff (GNU troff) is a typesetting system that reads plain text mixed with formatting commands and produces formatted output.,"1.22.4, 1.23.0",aces
gslib,A sparse communication library.,1.0.8,aces
gzip,gzip (GNU zip) is a popular data compression program as a replacement for compress,"1.10, 1.12",aces
h5py,"HDF5 for Python (h5py) is a general-purpose Python interface to the Hierarchical Data Format library, version 5. HDF5 is a versatile, mature scientific software library designed for the fast, flexible storage of enormous amounts of data.","3.1.0, 3.2.1, 3.6.0, 3.7.0, 3.8.0, 3.9.0, 3.10.0",aces
hatchling,"Extensible, standards compliant build backend used by Hatch, a modern, extensible Python project manager.",1.18.0,aces
help2man,help2man produces simple manual pages from the '--help' and '--version' output of other commands.,"1.47.8, 1.47.16, 1.48.3, 1.49.2, 1.49.3",aces
hiredis,"Hiredis is a minimalistic C client library for the Redis database. It is minimalistic because it just adds minimal support for the protocol, but at the same time it uses a high level printf-alike API in order to make it much higher level than otherwise suggested by its minimal code base and the lack of explicit bindings for every Redis command.",1.0.2,aces
humann,"HUMAnN v3 is a pipeline for efficiently and accurately determining the coverage and abundance of microbial pathways in a community from metagenomic data. Sequencing a metagenome typically produces millions of short DNA/RNA reads. This process, referred to as functional profiling, aims to describe the metabolic potential of a microbial community and its members. More generally, functional profiling answers the question: What are the microbes in my community-of-interest doing (or capable of doing)?",3.6,aces
hunspell,Hunspell is a spell checker and morphological analyzer library and program designed for languageswith rich morphology and complex word compounding or character encoding.,1.7.1,aces
hwloc,"The Portable Hardware Locality (hwloc) software package provides a portable abstraction (across OS, versions, architectures, ...) of the hierarchical topology of modern architectures, including NUMA memory nodes, sockets, shared caches, cores and simultaneous multithreading. It also gathers various system attributes such as cache and memory information as well as the locality of I/O devices such as network interfaces, InfiniBand HCAs or GPUs. It primarily aims at helping applications with gathering information about modern computing hardware so as to exploit it accordingly and efficiently.","2.2.0, 2.4.1, 2.5.0, 2.7.1, 2.8.0, 2.9.1, 2.9.2",aces
hypothesis,"Hypothesis is an advanced testing library for Python. It lets you write tests which are parametrized by a source of examples, and then generates simple and comprehensible examples that make your tests fail. This lets you find more bugs in your code with less work.","5.41.2, 6.13.1, 6.14.6, 6.46.7, 6.68.2, 6.82.0, 6.88.1, 6.90.0",aces
iimpi,"Intel C/C++ and Fortran compilers, alongside Intel MPI.","2021b, 2022a, 2022b, 2022.12, 2023a, 2023b, 2023.03, 2023.07",aces
imageio,"Imageio is a Python library that provides an easy interface to read and write a wide range of image data, including animated images, video, volumetric data, and scientific formats.",2.22.2,aces
imake,imake is a Makefile-generator that is intended to make it easier to develop software portably for multiple systems.,1.0.8,aces
imbalanced-learn,imbalanced-learn is a Python package offering a number of re-sampling techniques commonly used in datasets showing strong between-class imbalance.,0.10.1,aces
imkl,Intel oneAPI Math Kernel Library,"2021.4.0, 2022.1.0, 2022.2.1, 2023.0.0, 2023.1.0, 2023.2.0, 2024.0.0",aces
imkl-FFTW,FFTW interfaces using Intel oneAPI Math Kernel Library,"2021.4.0, 2022.1.0, 2022.2.1, 2023.0.0, 2023.1.0, 2023.2.0",aces
impi,"Intel MPI Library, compatible with MPICH ABI","2021.4.0, 2021.6.0, 2021.7.1, 2021.8.0, 2021.9.0, 2021.10.0, 2021.11.0",aces
intel,"Compiler toolchain including Intel compilers, Intel MPI and Intel Math Kernel Library (MKL).","2021b, 2022a, 2022b, 2022.11, 2022.12, 2023a, 2023b, 2023.03, 2023.07",aces
intel-compilers,"Intel C, C++ & Fortran compilers (classic and oneAPI)  intel/2023a: intel/2023a  intel/AIKit: intel/AIKit/2023.1.0, intel/AIKit/2023.2.0, intel/AIKit/2023.2.0.231103 Intel AI Analytic Toolkit installed using Miniconda3","2021.2.0, 2021.4.0, 2022.1.0, 2022.2.0, 2022.2.1, ...",aces
intelpython,This is the Intel Python distribution.,2024.1.0_814,aces
intltool,intltool is a set of tools to centralize translation of many different file formats using GNU gettext-compatible PO files.,0.51.0,aces
jax,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more","0.2.20, 0.3.25-CUDA-11.7.0, 0.3.25, 0.4.4-CUDA-11.8.0, 0.4.4",aces
jbigkit,"JBIG-KIT is a software implementation of the JBIG1 data compression standard (ITU-T T.82), which was designed for bi-level image data, such as scanned documents.",2.1,aces
jemalloc,jemalloc is a general purpose malloc(3) implementation that emphasizes fragmentation avoidance and scalable concurrency support.,5.2.1,aces
json-c,"JSON-C implements a reference counting object model that allows you to easily construct JSON objects in C, output them as JSON formatted strings and parse JSON formatted strings back into the C representation of JSON objects.",0.16,aces
jupyter-server,"The Jupyter Server provides the backend (i.e. the core services, APIs, and REST endpoints) for Jupyter web applications like Jupyter notebook, JupyterLab, and Voila.","2.7.0, 2.7.2",aces
jupyterlmod,"Jupyter interactive notebook server extension that allows users to interact with environment modules before launching kernels. The extension uses Lmod's Python interface to accomplish module-related tasks like loading, unloading, saving collections, etc.",4.0.3,aces
kblas-gpu,KAUST BLAS (KBLAS) is a high performance CUDA library implementing a subset of BLAS as well as Linear Algebra PACKage (LAPACK) routines on NVIDIA GPUs.,20231024-CUDA-11.8.0,aces
kim-api,"Open Knowledgebase of Interatomic Models. KIM is an API and OpenKIM is a collection of interatomic models (potentials) for atomistic simulations. This is a library that can be used by simulation programs to get access to the models in the OpenKIM database. This EasyBuild only installs the API, the models can be installed with the package openkim-models, or the user can install them manually by running kim-api-collections-management install user MODELNAME or kim-api-collections-management install user OpenKIM to install them all.","2.2.1, 2.3.0",aces
kineto,A CPU+GPU Profiling library that provides access to timeline traces and hardware performance counters,0.4.0,aces
libGLU,The OpenGL Utility Library (GLU) is a computer graphics library for OpenGL.,"9.0.1, 9.0.2, 9.0.3",aces
libROM,"A free, lightweight, scalable C++ library for data-driven physical simulation methods from the intrusive projection-based reduced order models to non-intrusive black-box approaches.",93ca278,aces
libaec,"Libaec provides fast lossless compression of 1 up to 32 bit wide signed or unsigned integers (samples). The library achieves best results for low entropy data as often encountered in space imaging instrument data or numerical model output from weather or climate simulations. While floating point representations are not directly supported, they can also be efficiently coded by grouping exponents and mantissa.",1.0.6,aces
libarchive,Multi-format archive and compression library,"3.4.3, 3.5.1, 3.6.1, 3.6.2, 3.7.2",aces
libatomic_ops,This package provides semi-portable access to hardware-provided atomic memory update operations on a number of architectures.,7.8.2,aces
libcerf,"libcerf is a self-contained numeric library that provides an efficient and accurate implementation of complex error functions, along with Dawson, Faddeeva, and Voigt functions.","2.1, 2.3",aces
